line_count,char_count,parse_crashed,parse_completeness,has_error_nodes,error_node_count,missing_node_count,unstable_span_count,class_declaration_count,method_declaration_count,local_variable_declaration_count,return_statement_count,while_statement_count,assignment_expression_count,binary_expression_count,max_ast_depth,ast_node_count,for_statement_count,loop_condition_contains_lt,loop_condition_contains_leq,loop_condition_contains_gt,loop_condition_contains_geq,loop_condition_contains_length,loop_condition_off_by_one_pattern_count,for_node_with_array_access_count,max_for_loop_body_size,if_statement_count,assignment_inside_if_condition_count,equality_in_if_condition_count,boolean_literal_in_if_condition_count,logical_operator_in_if_condition_count,array_access_count,array_index_uses_length_directly_count,array_index_uses_length_expression_count,unique_arrays_accessed_count,target,snippet_id,primary_label
12,305,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_003,INCORRECT_CONDITIONAL_OPERATOR
13,321,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_003,NO_ISSUE
9,226,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,array_index_bug_001,ARRAY_LENGTH_INDEX_MISUSE
9,231,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_001,NO_ISSUE
9,241,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,array_index_bug_002,ARRAY_LENGTH_INDEX_MISUSE
9,245,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_002,NO_ISSUE
10,266,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,array_index_bug_003,ARRAY_LENGTH_INDEX_MISUSE
10,270,0,1.0,0,0,0,0,1,1,2,0,0,0,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,array_index_fix_003,NO_ISSUE
10,250,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,109,1,1,1,0,0,1,1,1,17,0,0,0,0,0,2,0,0,2,1,off_by_one_bug_004,OFF_BY_ONE_LOOP_BOUNDARY
10,249,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,109,1,1,0,0,0,1,0,1,17,0,0,0,0,0,2,0,0,2,0,off_by_one_fix_004,NO_ISSUE
9,229,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,92,1,1,1,0,0,1,1,1,20,0,0,0,0,0,1,0,0,1,1,off_by_one_bug_005,OFF_BY_ONE_LOOP_BOUNDARY
9,228,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,92,1,1,0,0,0,1,0,1,20,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_005,NO_ISSUE
14,336,0,1.0,0,0,0,0,1,1,3,0,0,1,2,12,122,1,1,1,0,0,1,1,1,29,1,0,0,0,0,2,0,0,1,1,off_by_one_bug_006,OFF_BY_ONE_LOOP_BOUNDARY
14,335,0,1.0,0,0,0,0,1,1,3,0,0,1,2,12,122,1,1,0,0,0,1,0,1,29,1,0,0,0,0,2,0,0,1,0,off_by_one_fix_006,NO_ISSUE
12,306,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_004,INCORRECT_CONDITIONAL_OPERATOR
13,321,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_004,NO_ISSUE
12,330,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,99,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_005,INCORRECT_CONDITIONAL_OPERATOR
13,350,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_005,NO_ISSUE
12,311,0,1.0,0,0,0,0,1,1,2,0,0,1,2,11,96,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_006,INCORRECT_CONDITIONAL_OPERATOR
13,328,0,1.0,0,0,0,0,1,1,2,0,0,1,2,11,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_006,NO_ISSUE
10,276,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,array_index_bug_004,ARRAY_LENGTH_INDEX_MISUSE
10,280,0,1.0,0,0,0,0,1,1,2,0,0,0,1,10,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_004,NO_ISSUE
10,269,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,array_index_bug_005,ARRAY_LENGTH_INDEX_MISUSE
10,274,0,1.0,0,0,0,0,1,1,2,0,0,0,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,array_index_fix_005,NO_ISSUE
9,252,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,array_index_bug_006,ARRAY_LENGTH_INDEX_MISUSE
9,256,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_006,NO_ISSUE
